Wavelength (nm)	Abs. Coeff.
1133	0.950159962
1134	3.014039632
1135	6.35810753
1136	1.153669393
1137	0.315039636
1138	0.748604276
1139	0.507701059
1140	0.577502439
1141	0.831159762
1142	0.743694528
1143	0.30587756
1144	1.4340281
1145	1.035297548
1146	0.90065437
1147	2.979383545
1148	0.566319942
1149	0.7212759
1150	1.199172279
1151	0.74505553
1152	0.570862651
1153	0.830896767
1154	0.887575858
1155	0.395333431
1156	0.485351927
1157	0.355154208
1158	0.410160775
1159	0.346308804
1160	0.429024268
1161	0.217018507
1162	0.229340931
1163	0.070472925
1164	0.14548707
1165	0.168686997
1166	0.182204037
1167	0.138469548
1168	0.127880556
1169	0.104039347
1170	0.073984293
1171	0.090674416
1172	0.084954491
1173	0.074966716
1174	0.247126903
1175	0.074159913
1176	0.038743352
1177	0.054581035
1178	0.203602637
1179	0.035906324
1180	0.09321122
1181	0.068909869
1182	0.371899417
1183	0.055980918
1184	0.10867284
1185	0.1286207
1186	0.040463138
1187	0.063902427
1188	0.232099278
1189	0.083335466
1190	0.049101076
1191	0.072150832
1192	0.042286328
1193	0.064902711
1194	0.046806949
1195	0.064760854
1196	0.083230356
1197	0.028090482
1198	0.071251751
1199	0.141952219
1200	0.059085908
1201	0.077512865
1202	0.082955523
1203	0.059328317
1204	0.149553322
1205	0.070790711
1206	0.017254471
1207	0.076663148
1208	0.060157816
1209	0.062243604
1210	0.044037574
1211	0.068735524
1212	0.073665095
1213	0.024959404
1214	0.062510645
1215	0.072246375
1216	0.02621319
1217	0.037459995
1218	0.026803523
1219	0.030062789
1220	0.025839811
1221	0.018849897
1222	0.031175059
1223	0.033321782
1224	0.035823051
1225	0.018401572
1226	0.013571214
1227	0.040889915
1228	0.010345871
1229	0.012673836
1230	0.017405553
1231	0.004255018
1232	0.004686099
1233	0.0204016
1234	0.001151762
1235	0.003425
1236	0.00145819
1237	0.006815776
1238	0.001247087
1239	0.001345096
1240	0.000427361
1241	0.003976674
1242	0.000593744
1243	0.000134465
1244	0.001077644
1245	0.000163476
1246	0.000113368
1247	0.000556761
1248	0.001900609
1249	0.000216232
1250	0.000393041
1251	0.00030858
1252	0.000696796
1253	0.000324414
1254	0.002273657
1255	0.001331849
1256	0.000720583
1257	0.000427361
1258	0.00162977
1259	0.00051186
1260	0.001574964
1261	0.001596872
1262	0.000596386
1263	0.002123224
1264	0.002039084
1265	0.000924181
1266	0.000403601
1267	0.002620853
1268	0.001486963
1269	0.001363642
1270	0.000942698
1271	0.003875251
1272	0.002788837
1273	0.002312767
1274	0.004161325
1275	0.001236494
1276	0.002905536
1277	0.008469318
1278	0.000990318
1279	0.006398346
1280	0.007605527
1281	0.007504705
1282	0.001931698
1283	0.002882335
1284	0.008006725
1285	0.005810766
1286	0.004693833
1287	0.011342735
1288	0.011565244
1289	0.022369198
1290	0.01068888
1291	0.007278016
1292	0.034998411
1293	0.017007822
1294	0.0209488
1295	0.019396012
1296	0.04009753
1297	0.062251457
1298	0.028839772
1299	0.01436026
1300	0.090045689
1301	0.072469359
1302	0.025451703
1303	0.090895008
1304	0.163155265
1305	0.037763542
1306	0.035823051
1307	0.161558076
1308	0.096431895
1309	0.033812283
1310	0.167613604
1311	0.112300195
1312	0.105780715
1313	0.119984434
1314	0.188239964
1315	0.166550886
1316	0.105680618
1317	0.142750879
1318	0.096357789
1319	0.21784647
1320	0.367815676
1321	0.154882935
1322	0.14264551
1323	0.355421167
1324	0.225331438
1325	0.10978765
1326	0.184089486
1327	0.209301085
1328	0.403825579
1329	0.585224116
1330	0.307236462
1331	0.665592002
1332	0.746195597
1333	0.357077014
1334	0.672513242
1335	0.350594016
1336	0.590721798
1337	0.599824959
1338	0.550273135
1339	0.537371774
1340	0.683119442
1341	0.556969915
1342	0.419559329
1343	0.57506169
1344	1.287604132
1345	0.929748235
1346	1.250097234
1347	1.199172279
1348	5.747018949
1349	2.582814267
1350	4.513797237
1351	3.706971324
1352	5.416377912
1353	8.017207231
1354	7.210309109
1355	12.6261476
1356	10.12662289
1357	8.725622766
1358	12.54040583
1359	11.20011308
1360	12.09282295
1361	17.31314729
1362	31.0200647
1363	11.60024248
1364	11.07641523
1365	23.81203224
1366	8.715070691
1367	10.02335178
1368	22.02288015
1369	13.93176847
1370	12.63661855
1371	18.24848269
1372	12.03349662
1373	7.580220324
1374	6.440318908
1375	7.820854313
1376	7.708514136
1377	9.719901931
1378	3.59461895
1379	13.41677876
1380	8.773795159
1381	21.64807177
1382	11.31445429
1383	24.62465307
1384	11.94156301
1385	16.54271021
1386	9.682825913
1387	4.0032268
1388	19.00980429
1389	4.268545512
1390	5.816329021
1391	5.130320744
1392	13.71967619
1393	9.521985402
1394	5.688358479
1395	17.70867757
1396	18.45444368
1397	11.05040253
1398	3.157214671
1399	4.259345706
1400	16.60472471
1401	18.12715309
1402	6.094831304
1403	4.220661992
1404	6.736480318
1405	17.15713232
1406	2.837595113
1407	15.02787764
1408	4.328708379
1409	10.42759326
1410	7.186474653
1411	4.701049662
1412	5.18975291
1413	1.599670061
1414	8.572717253
1415	9.685382185
1416	1.633390488
1417	2.171747146
1418	3.335772209
1419	8.881871034
1420	4.713949421
1421	3.344465597
1422	1.285397234
1423	4.120760107
1424	5.155144722
1425	2.606025403
1426	3.311868654
1427	2.379626792
1428	4.928094792
1429	2.304574534
1430	1.305296001
1431	1.309466854
1432	5.698740695
1433	2.18533619
1434	3.47860233
1435	2.583724884
1436	1.975547893
1437	1.887752959
1438	5.023333616
1439	1.123244465
1440	2.360959077
1441	2.209080103
1442	3.010271884
1443	4.401041696
1444	1.09809148
1445	1.316489444
1446	7.712790388
1447	2.197186282
1448	0.721683264
1449	0.665530845
1450	3.542350316
1451	6.342188447
1452	1.211952867
1453	0.965031477
1454	0.50650281
1455	1.392126965
1456	0.709618516
1457	0.6164642
1458	0.710460354
1459	0.355367773
1460	1.102566794
1461	0.90703487
1462	0.480101702
1463	1.631968005
1464	0.430099807
1465	1.274155137
1466	1.148412967
1467	2.758079137
1468	0.981685297
1469	0.750856785
1470	3.094506614
1471	5.283588439
1472	3.282641514
1473	1.093366784
1474	0.904351532
1475	0.251433766
1476	1.18969122
1477	1.074565082
1478	1.386796189
1479	0.659088019
1480	1.350856493
1481	0.701092911
1482	1.456999036
1483	0.381492627
1484	0.603660912
1485	0.592498068
1486	0.60006266
1487	1.134479685
1488	0.751555196
1489	0.231076069
1490	0.42478221
1491	0.374240109
1492	0.336994272
1493	0.281735455
1494	0.210602499
1495	0.331756622
1496	0.373459612
1497	0.151835155
1498	0.252291797
1499	0.161170593
1500	0.099063472
1501	0.061882472
1502	0.134508625
1503	0.201427272
1504	0.379171475
1505	0.21174196
1506	0.049810808
1507	0.075886454
1508	0.098006386
1509	0.237347389
1510	0.04374668
1511	0.054643195
1512	0.055086235
1513	0.088138375
1514	0.121867187
1515	0.043348804
1516	0.061019628
1517	0.07013146
1518	0.074343561
1519	0.080744516
1520	0.043463553
1521	0.013168708
1522	0.031679152
1523	0.01044139
1524	0.01854917
1525	0.037035245
1526	0.033382133
1527	0.039442946
1528	0.012251166
1529	0.019894658
